1,LEGO City Fire Station,Fire station set with fire trucks and minifigures,49.99,building,LEGO,city,5
2,Barbie Dream House,3-story dollhouse with furniture and accessories,199.99,dollhouse,Barbie,dolls,6
3,Hot Wheels 50-Car Pack,Large set of 50 miniature cars for racing,99.99,car,Hot Wheels,racing,13
4,Play-Doh Kitchen Creations,Set of colorful Play-Doh for creative cooking fun,19.99,creative,Play-Doh,arts,998
5,NERF Elite 2.0,Motorized blaster with darts for action play,29.99,blaster,NERF,toys,2
6,Fisher-Price Laugh & Learn,Interactive learning toy for toddlers,39.99,learning,Fisher-Price,education,8
7,Monopoly Classic,Traditional board game with money and properties,24.99,board game,Hasbro,family,9
8,Transformers Optimus Prime,Action figure that converts into a truck,59.99,action figure,Transformers,robots,12
9,Disney Princess Castle,Large castle playset with Disney princesses,149.99,dollhouse,Disney,princess,17
10,Playmobil Pirate Ship,Large pirate ship with pirate figures,89.99,playset,Playmobil,adventure,3
11,Hot Wheels Track Builder,Customizable race track for Hot Wheels cars,39.99,track,Hot Wheels,racing,5
12,LEGO Star Wars Millennium Falcon,Buildable Millennium Falcon model,149.99,building,LEGO,Star Wars,1
13,Plush Teddy Bear,Soft and cuddly teddy bear for all ages,19.99,plush,Generic,toys,2
14,FurReal Friends Cat,Interactive robotic cat that purrs and moves,49.99,interactive,FurReal,furry,4
15,Kinetic Sand Set,Magnetic sand that shapes and molds easily,19.99,creative,Kinetic Sand,sensory,8
16,Razor A Kick Scooter,Classic kick scooter for kids aged 5+,39.99,scooter,Razor,outdoor,6
17,My Little Pony Friendship,Set of collectible ponies with accessories,29.99,doll,My Little Pony,collectible,19
18,Crayola Crayon Set,Set of 64 crayons in various colors,9.99,arts and crafts,Crayola,creative,28
19,Mattel Hot Wheels Garage,Multi-level garage playset for Hot Wheels cars,59.99,playset,Mattel,vehicles,6
20,Little Tikes Slide,Mini slide for kids to play indoors or outdoors,89.99,playground,Little Tikes,outdoor,10
